model,nbins,eweight,fweight,label,group,weight_type,train_or_test,row_type,ncount,mae,rmse,rsq
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk3,weighted,training,stress,186.0,2.08395e-08,7.94186e-08,0.966313
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,unweighted,training,energy,31.0,1.18909,1.40973,0.902343
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,unweighted,training,force,540.0,4.09319e-05,9.71891e-05,0.785689
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,unweighted,training,stress,186.0,195473.0,561824.0,0.508384
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,weighted,training,energy,31.0,1.18909,1.40973,0.902343
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,weighted,training,force,540.0,0.00409319,0.00971891,0.785689
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk4,weighted,training,stress,186.0,1.95473e-07,5.61824e-07,0.508384
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,unweighted,training,energy,31.0,0.746795,0.746796,-3018.89
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,unweighted,training,force,372.0,8.60517e-05,0.000126097,0.839455
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,unweighted,training,stress,186.0,30911.7,42841.5,0.993445
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,weighted,training,energy,31.0,0.746795,0.746796,-3018.89
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,weighted,training,force,372.0,0.00860517,0.0126097,0.839455
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk5,weighted,training,stress,186.0,3.09117e-08,4.28415e-08,0.993445
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk6,unweighted,training,energy,31.0,0.744754,0.744755,-1655.64
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk6,unweighted,training,force,372.0,0.000102262,0.00014965,0.844617
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk6,unweighted,training,stress,186.0,32232.2,44630.9,0.992968
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk6,weighted,training,energy,31.0,0.744754,0.744755,-1655.64
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk6,weighted,training,force,372.0,0.0102262,0.014965,0.844617
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk6,weighted,training,stress,186.0,3.22322e-08,4.46309e-08,0.992968
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk7,unweighted,training,energy,31.0,0.874864,1.15612,0.772864
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk7,unweighted,training,force,384.0,6.53621e-05,0.000118196,0.863229
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk7,unweighted,training,stress,186.0,98535.2,545333.0,0.443277
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk7,weighted,training,energy,31.0,0.874864,1.15612,0.772864
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk7,weighted,training,force,384.0,0.00653621,0.0118196,0.863229
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk7,weighted,training,stress,186.0,9.85352e-08,5.45333e-07,0.443277
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk8,unweighted,training,energy,31.0,1.64588,2.23606,0.84755
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk8,unweighted,training,force,300.0,6.07476e-06,1.77819e-05,0.969436
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk8,unweighted,training,stress,186.0,261259.0,1009490.0,-0.111659
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk8,weighted,training,energy,31.0,1.64588,2.23606,0.84755
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk8,weighted,training,force,300.0,0.000607476,0.00177819,0.969436
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk8,weighted,training,stress,186.0,2.61259e-07,1.00949e-06,-0.111659
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk9,unweighted,training,energy,31.0,0.724423,0.724423,-509.432
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk9,unweighted,training,force,186.0,2.55744e-05,3.78751e-05,0.970546
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk9,unweighted,training,stress,186.0,670.541,884.46,0.999998
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk9,weighted,training,energy,31.0,0.724423,0.724423,-509.432
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk9,weighted,training,force,186.0,0.00255744,0.00378751,0.970546
TaLinear,31,10.0,1.0,TaLinear_e10f1,talinear_chunk9,weighted,training,stress,186.0,6.70541e-10,8.8446e-10,0.999998
TaLinear,31,1.0,1.0,TaLinear_e1f1,*all,unweighted,training,energy,363.0,0.127844,0.330247,0.995607
TaLinear,31,1.0,1.0,TaLinear_e1f1,*all,unweighted,training,force,12672.0,0.0695129,0.148157,0.98772
TaLinear,31,1.0,1.0,TaLinear_e1f1,*all,unweighted,training,stress,2178.0,55839.4,315809.0,0.958675
TaLinear,31,1.0,1.0,TaLinear_e1f1,*all,weighted,training,energy,363.0,0.127844,0.330247,0.995607
TaLinear,31,1.0,1.0,TaLinear_e1f1,*all,weighted,training,force,12672.0,0.0695129,0.148157,0.98772
TaLinear,31,1.0,1.0,TaLinear_e1f1,*all,weighted,training,stress,2178.0,5.58394e-08,3.15809e-07,0.958675
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk1,unweighted,training,energy,31.0,0.0543372,0.0628235,0.949097
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk1,unweighted,training,force,5526.0,0.127397,0.21294,0.972165
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk1,unweighted,training,stress,186.0,23720.4,37612.9,0.995132
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk1,weighted,training,energy,31.0,0.0543372,0.0628235,0.949097
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk1,weighted,training,force,5526.0,0.127397,0.21294,0.972165
TaLinear,31,1.0,1.0,TaLinear_e1f1,talinear_chunk1,weighted,training,stress,186.0,2.37204e-08,3.76129e-08,0.995132
